type,tag,tm2.x,tm2.y,x,y,set.up.date
Camera,1.2,231262.594,2430038.745,31.79907271,231.4482569,2014-12-09
Camera,2.2,231366.5762,2430021.572,133.2451212,213.9954869,2014-12-09
Camera,3.2,231495.8311,2430063.164,259.3474219,256.2646227,2014-12-09
Camera,3.1,231502.797,2429932.058,266.143408,123.0262535,2014-12-09
Camera,3.0,231466.3952,2429809.638,230.6294646,-1.383958882,2014-12-09
Camera,2.1,231399.5206,2429935.943,165.3859798,126.974192,2014-12-09
Camera,2.0,231356.811,2429807.994,123.7180225,-3.054588526,2014-12-09
Camera,1.1,231248.2192,2429940.327,17.7748497,131.4302379,2014-12-09
Camera,1.0,231238.6674,2429816.88,8.455977918,5.975705142,2014-12-10
Camera,0.1,231161.5818,2429952.72,-66.74943791,144.0243503,2014-12-10
Camera,0.2,231158.589,2430037.428,-69.66924294,230.1099891,2014-12-10
Camera,4.2,231623.4833,2430061.356,383.8861163,254.4267114,2014-12-10
Camera,5.2,231719.8248,2430045.744,477.8778996,238.5606153,2014-12-10
Camera,5.1,231714.8678,2429960.713,473.0417777,152.1468682,2014-12-10
Camera,5.0,231729.0622,2429826.94,486.8899547,16.19964943,2014-12-10
Camera,4.1,231588.2164,2429936.942,349.4794574,127.9894508,2014-12-10
Camera,4.0,231628.1533,2429824.842,388.4422189,14.06691784,2014-12-10
Camera,0.0,231145.7974,2429801.267,-82.14886637,-9.891626016,2014-12-10
Exclosure,3.1,231243.9575,2430084.829,13.61707008,278.28115,2014-12-02
Exclosure,3.2,231234.66,2430082.957,4.546306405,276.379335,2014-12-02
Exclosure,3.3,231228.0018,2430127.255,-1.949471633,321.3975197,2014-12-03
Exclosure,3.4,231188.1942,2430091.206,-40.78616221,284.7618788,2014-12-03
Exclosure,3.5,231214.4938,2430061.611,-15.12799651,254.686041,2014-12-02
Exclosure,2.1,231702.9522,2430014.428,461.4168276,206.7355849,2014-11-28
Exclosure,2.2,231698.3373,2430041.45,456.9144765,234.1971708,2014-11-28
Exclosure,2.3,231671.4504,2430013.357,430.6832972,205.6470934,2014-12-01
Exclosure,2.4,231626.0786,2430072.315,386.4181426,265.5636914,2014-12-01
Exclosure,2.5,231617.8905,2430133.444,378.4297806,327.6873334,2014-12-01
Exclosure,1.1,231656.6308,2429716.299,416.2251731,-96.24077068,2014-11-22
Exclosure,1.2,231692.7649,2429704.078,451.4779918,-108.6606653,2014-11-22
Exclosure,1.3,231693.8832,2429774.719,452.568943,-36.87125351,2014-11-22
Exclosure,1.4,231666.0187,2429792.688,425.3841264,-18.60972188,2014-11-24
Exclosure,1.5,231674.3118,2429817.813,433.4748816,6.923861931,2014-11-24
